customer_id,status,card_present_flag,balance,date,gender,age,merchant_suburb,merchant_state,amount,movement
CUS-2487424745,authorized,1.0,35.39,2018-08-01,F,26,Ashmore,QLD,16.25,debit
CUS-2487424745,authorized,0.0,21.2,2018-08-01,F,26,Sydney,NSW,14.19,debit
CUS-2142601169,authorized,1.0,5.71,2018-08-01,M,38,Sydney,NSW,6.42,debit
CUS-1614226872,authorized,1.0,2117.22,2018-08-01,F,40,Buderim,QLD,40.9,debit
CUS-2487424745,authorized,1.0,17.95,2018-08-01,F,26,Mermaid Beach,QLD,3.25,debit
CUS-2688605418,posted,,1705.43,2018-08-01,M,20,,,163.0,debit
CUS-4123612273,authorized,1.0,1248.36,2018-08-01,F,43,Kalkallo,VIC,61.06,debit
CUS-4123612273,authorized,1.0,1232.75,2018-08-01,F,43,Melbourne,VIC,15.61,debit
CUS-3026014945,authorized,1.0,213.16,2018-08-01,F,27,Yokine,WA,19.25,debit
CUS-2031327464,posted,,466.58,2018-08-01,M,40,,,21.0,debit
CUS-2317998716,posted,,4348.5,2018-08-01,M,19,,,27.0,debit
CUS-4123612273,posted,,1203.75,2018-08-01,F,43,,,29.0,debit
CUS-3026014945,authorized,1.0,207.08,2018-08-01,F,27,Cockburn Central,WA,6.08,debit
CUS-1462656821,posted,,4438.16,2018-08-01,M,23,,,25.0,debit
CUS-3142625864,posted,,173.66,2018-08-01,M,43,,,39.0,debit
CUS-860700529,authorized,1.0,2.85,2018-08-01,M,30,Mount Ommaney,QLD,10.79,debit
CUS-2370108457,posted,,260514.83,2018-08-01,M,46,,,22.0,debit
CUS-2630892467,posted,,3117.94,2018-08-01,F,26,,,55.0,debit
CUS-3716701010,posted,,38.31,2018-08-01,F,47,,,58.0,debit
CUS-3378712515,authorized,1.0,708.28,2018-08-01,F,24,Brunswick,VIC,7.37,debit
CUS-2487424745,authorized,1.0,3.85,2018-08-01,F,26,Byron Bay,NSW,14.1,debit
CUS-2695611575,authorized,0.0,275.93,2018-08-01,M,37,Lismore,NSW,24.77,debit
CUS-1669695324,authorized,1.0,259.37,2018-08-01,F,25,Fremantle,WA,13.67,debit
CUS-3255104878,authorized,0.0,30583.15,2018-08-01,F,43,Mordialloc,VIC,12.08,debit
CUS-537508723,authorized,1.0,793.64,2018-08-01,M,21,Chatswood,NSW,72.12,debit
CUS-2376382098,posted,,4474.38,2018-08-01,F,39,,,25.0,debit
CUS-3129499595,posted,,586.2,2018-08-01,M,31,,,36.0,debit
CUS-883482547,authorized,1.0,1636.91,2018-08-01,F,19,Granville,NSW,17.96,debit
CUS-51506836,authorized,1.0,11525.54,2018-08-01,M,24,Pacific Paradise,QLD,14.49,debit
CUS-883482547,authorized,0.0,1625.34,2018-08-01,F,19,Alexandria,NSW,11.57,debit
CUS-1614226872,authorized,1.0,2072.1,2018-08-01,F,40,North Lakes,QLD,45.12,debit
CUS-1196156254,authorized,0.0,12529.59,2018-08-01,F,34,Findon,SA,33.89,debit
CUS-3378712515,authorized,1.0,698.61,2018-08-01,F,24,Doncaster,VIC,9.67,debit
CUS-2178051368,authorized,1.0,2086.31,2018-08-01,M,25,Smithfield,QLD,4.38,debit
CUS-809013380,authorized,1.0,1689.89,2018-08-01,F,21,Alstonville,NSW,28.49,debit
CUS-809013380,authorized,1.0,1675.46,2018-08-01,F,21,Leonora,WA,14.43,debit
CUS-51506836,authorized,1.0,11438.51,2018-08-01,M,24,Greenslopes,QLD,87.03,debit
CUS-3702001629,authorized,1.0,38.42,2018-08-01,F,18,Browns Plains,QLD,36.28,debit
CUS-127297539,authorized,0.0,1089.59,2018-08-01,F,20,West Perth,WA,15.91,debit
CUS-1646183815,authorized,1.0,49756.21,2018-08-01,M,78,Preston,VIC,25.7,debit
CUS-1614226872,posted,,2040.1,2018-08-01,F,40,,,32.0,debit
CUS-164374203,posted,,137.14,2018-08-01,F,20,,,39.0,debit
CUS-2283904812,posted,,292.77,2018-08-01,M,22,,,34.0,debit
CUS-3180318393,posted,,28.04,2018-08-01,M,27,,,29.0,debit
CUS-3904958894,posted,,754.2,2018-08-01,M,42,,,150.0,debit
CUS-537508723,posted,,763.64,2018-08-01,M,21,,,30.0,debit
CUS-1604596597,authorized,1.0,301.65,2018-08-01,M,38,Bomaderry,NSW,20.43,debit
CUS-1617121891,authorized,0.0,1290.08,2018-08-01,M,22,Sydney,NSW,31.62,debit
CUS-2206365095,authorized,1.0,18784.07,2018-08-01,F,38,Doncaster,VIC,16.13,debit
CUS-3255104878,authorized,1.0,29645.42,2018-08-01,F,43,Dandenong South,VIC,937.73,debit
CUS-1462656821,posted,,8342.11,2018-08-01,M,23,,,3903.95,credit
CUS-1617121891,posted,,1195.08,2018-08-01,M,22,,,95.0,debit
CUS-2031327464,authorized,1.0,454.94,2018-08-01,M,40,Margaret River,WA,11.64,debit
